,Artist Name,Track,Main Genre,Popularity,Year in Top 50
0,Harry Styles,As It Was,pop,89,2021
1,Glass Animals,Heat Waves,gauze pop,78,2021
2,The Kid LAROI,STAY (with Justin Bieber),australian hip hop,81,2021
3,Justin Bieber,STAY (with Justin Bieber),canadian pop,90,2021
4,Bad Bunny,Me Porto Bonito,reggaeton,98,2021
5,Chencho Corleone,Me Porto Bonito,reggaeton flow,83,2021
6,Bad Bunny,Tití Me Preguntó,reggaeton,98,2021
7,Elton John,Cold Heart - PNAU Remix,glam rock,84,2021
8,Dua Lipa,Cold Heart - PNAU Remix,dance pop,87,2021
9,PNAU,Cold Heart - PNAU Remix,alternative dance,73,2021
10,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,modern rock,88,2021
11,JID,Enemy (with JID) - from the series Arcane League of Legends,hip hop,78,2021
12,League of Legends,Enemy (with JID) - from the series Arcane League of Legends,speedrun,79,2021
13,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",argentine hip hop,85,2021
14,Quevedo,"Quevedo: Bzrp Music Sessions, Vol. 52",rap canario,85,2021
15,Bad Bunny,Ojitos Lindos,reggaeton,98,2021
16,Bomba Estéreo,Ojitos Lindos,cumbia,76,2021
17,Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster,art pop,73,2021
18,Lil Nas X,INDUSTRY BABY (feat. Jack Harlow),lgbtq+ hip hop,82,2021
19,Jack Harlow,INDUSTRY BABY (feat. Jack Harlow),deep underground hip hop,81,2021
20,GAYLE,abcdefu,modern alternative pop,69,2021
21,Bad Bunny,Efecto,reggaeton,98,2021
22,Justin Bieber,Ghost,canadian pop,90,2021
23,Joji,Glimpse of Us,viral pop,86,2021
24,Bad Bunny,Moscow Mule,reggaeton,98,2021
25,Ed Sheeran,Shivers,pop,90,2021
26,Adele,Easy On Me,british soul,84,2021
27,Elley Duhé,MIDDLE OF THE NIGHT,alt z,76,2021
28,Doja Cat,Woman,dance pop,86,2021
29,The Neighbourhood,Sweater Weather,modern alternative rock,84,2021
30,Rauw Alejandro,Desesperados,puerto rican pop,89,2021
31,Chencho Corleone,Desesperados,reggaeton flow,83,2021
32,Tom Odell,Another Love,chill pop,78,2021
33,KAROL G,PROVENZA,reggaeton,85,2021
34,Camila Cabello,Bam Bam (feat. Ed Sheeran),dance pop,81,2021
35,Ed Sheeran,Bam Bam (feat. Ed Sheeran),pop,90,2021
36,Jack Harlow,First Class,deep underground hip hop,81,2021
37,The Weeknd,Blinding Lights,canadian contemporary r&b,93,2021
38,Becky G,MAMIII,dance pop,78,2021
39,KAROL G,MAMIII,reggaeton,85,2021
40,Lost Frequencies,Where Are You Now,belgian edm,75,2021
41,Calum Scott,Where Are You Now,neo mellow,77,2021
42,Ed Sheeran,Bad Habits,pop,90,2021
43,Farruko,Pepas,latin hip hop,83,2021
44,Olivia Rodrigo,good 4 u,pop,83,2021
45,Ruth B.,Dandelions,alt z,75,2021
46,Lizzo,About Damn Time,escape room,78,2021
47,Lil Nas X,THATS WHAT I WANT,lgbtq+ hip hop,82,2021
48,OneRepublic,I Ain't Worried,piano rock,84,2021
49,Coldplay,My Universe,permanent wave,88,2021
50,BTS,My Universe,k-pop,91,2021
51,Manuel Turizo,La Bachata,colombian pop,84,2021
52,Cris Mj,Una Noche en Medellín,mambo chileno,78,2021
53,The Walters,I Love You So,chicago indie,71,2021
54,Jaymes Young,Infinity,modern rock,70,2021
55,Bad Bunny,Party,reggaeton,98,2021
56,Rauw Alejandro,Party,puerto rican pop,89,2021
57,Harry Styles,Watermelon Sugar,pop,89,2021
58,Tiësto,The Motto,big room,83,2021
59,Ava Max,The Motto,dance pop,80,2021
60,Olivia Rodrigo,traitor,pop,83,2021
61,Harry Styles,Late Night Talking,pop,89,2021
62,Stephen Sanchez,Until I Found You,gen z singer-songwriter,76,2021
63,Tainy,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),latin hip hop,77,2021
64,Bad Bunny,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),reggaeton,98,2021
65,Julieta Venegas,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),latin alternative,74,2021
66,Bad Bunny,Yonaguni,reggaeton,98,2021
67,Bad Bunny,Tarot,reggaeton,98,2021
68,Jhayco,Tarot,reggaeton,82,2021
69,The Weeknd,Blinding Lights,canadian contemporary r&b,93,2020
70,Tones And I,Dance Monkey,australian pop,70,2020
71,Roddy Ricch,The Box,melodic rap,81,2020
72,SAINt JHN,Roses - Imanbek Remix,melodic rap,70,2020
73,Imanbek,Roses - Imanbek Remix,dance pop,75,2020
74,Dua Lipa,Don't Start Now,dance pop,87,2020
75,DaBaby,ROCKSTAR (feat. Roddy Ricch),north carolina hip hop,81,2020
76,Roddy Ricch,ROCKSTAR (feat. Roddy Ricch),melodic rap,81,2020
77,Harry Styles,Watermelon Sugar,pop,89,2020
78,Powfu,death bed (coffee for your head),sad rap,70,2020
79,beabadoobee,death bed (coffee for your head),bedroom pop,73,2020
80,Trevor Daniel,Falling,melodic rap,66,2020
81,Lewis Capaldi,Someone You Loved,pop,80,2020
82,KAROL G,Tusa,reggaeton,85,2020
83,Nicki Minaj,Tusa,dance pop,85,2020
84,Arizona Zervas,ROXANNE,pop,66,2020
85,Post Malone,Circles,dfw rap,87,2020
86,Lil Mosey,Blueberry Faygo,melodic rap,70,2020
87,Justin Bieber,Intentions (feat. Quavo),canadian pop,90,2020
88,Quavo,Intentions (feat. Quavo),atl hip hop,81,2020
89,Drake,Toosie Slide,canadian hip hop,97,2020
90,Lewis Capaldi,Before You Go,pop,80,2020
91,Doja Cat,Say So,dance pop,86,2020
92,Maroon 5,Memories,pop,85,2020
93,Future,Life Is Good (feat. Drake),atl hip hop,87,2020
94,Drake,Life Is Good (feat. Drake),canadian hip hop,97,2020
95,Jawsh 685,Savage Love (Laxed - Siren Beat),nz pop,62,2020
96,Jason Derulo,Savage Love (Laxed - Siren Beat),dance pop,79,2020
97,Harry Styles,Adore You,pop,89,2020
